UF,Sexo,Idade,Cor,Anos.de.Estudo,Renda,Altura
Mato Grosso do Sul,Masculino,53,Branca,11 anos,1250,1.79
Mato Grosso do Sul,Masculino,19,Branca,8 anos,764,1.75
Mato Grosso do Sul,Feminino,36,Parda,7 anos,650,1.74
Mato Grosso do Sul,Masculino,31,Branca,8 anos,5500,1.77
Mato Grosso do Sul,Feminino,51,Parda,5 anos,400,1.82
Mato Grosso do Sul,Feminino,37,Branca,3 anos,650,1.77
Mato Grosso do Sul,Feminino,39,Branca,7 anos,2000,1.89
Mato Grosso do Sul,Feminino,35,Parda,7 anos,600,1.65
Mato Grosso do Sul,Feminino,50,Branca,4 anos,1350,1.89
Mato Grosso do Sul,Masculino,56,Branca,4 anos,3200,1.73
Mato Grosso do Sul,Masculino,50,Branca,5 anos,3500,1.82
Mato Grosso do Sul,Masculino,39,Parda,2 anos,1500,1.66
Mato Grosso do Sul,Masculino,38,Branca,11 anos,1300,1.89
Mato Grosso do Sul,Feminino,44,Branca,14 anos,4200,1.69
Mato Grosso do Sul,Feminino,34,Parda,7 anos,988,1.75
Mato Grosso do Sul,Masculino,36,Parda,3 anos,650,1.68
Mato Grosso do Sul,Masculino,63,Parda,4 anos,1650,1.82
Mato Grosso do Sul,Masculino,36,Branca,11 anos,1100,1.74
Mato Grosso do Sul,Masculino,72,Branca,4 anos,1576,1.68
Mato Grosso do Sul,Masculino,35,Branca,4 anos,2450,1.77
Mato Grosso do Sul,Masculino,62,Branca,2 anos,0,1.75
Mato Grosso do Sul,Masculino,41,Branca,4 anos,1576,1.66
Mato Grosso do Sul,Masculino,30,Branca,4 anos,1180,1.65
Mato Grosso do Sul,Masculino,39,Parda,4 anos,1118,1.72
Mato Grosso do Sul,Masculino,51,Branca,2 anos,1800,1.7
Mato Grosso do Sul,Masculino,75,Branca,1 ano,0,1.67
Mato Grosso do Sul,Masculino,37,Parda,4 anos,1200,1.64
Mato Grosso do Sul,Masculino,26,Branca,11 anos,3000,1.66
Mato Grosso do Sul,Masculino,22,Preta,8 anos,1300,1.59
Mato Grosso do Sul,Masculino,57,Branca,2 anos,400,1.67
Mato Grosso do Sul,Masculino,54,Branca,5 anos,900,1.6
Mato Grosso do Sul,Feminino,53,Parda,5 anos,788,1.71
Mato Grosso do Sul,Masculino,33,Parda,11 anos,600,1.67
Mato Grosso do Sul,Masculino,43,Branca,8 anos,1800,1.63
Mato Grosso do Sul,Masculino,33,Branca,11 anos,788,1.8
Mato Grosso do Sul,Masculino,61,Branca,5 anos,2000,1.71
Mato Grosso do Sul,Feminino,38,Branca,2 anos,250,1.67
Mato Grosso do Sul,Feminino,49,Parda,2 anos,600,1.65
Mato Grosso do Sul,Feminino,37,Branca,15 anos ou mais,1500,1.63
Mato Grosso do Sul,Masculino,34,Parda,15 anos ou mais,6000,1.44
Mato Grosso do Sul,Masculino,30,Parda,8 anos,1900,1.78
Mato Grosso do Sul,Masculino,67,Branca,8 anos,4000,1.83
Mato Grosso do Sul,Feminino,35,Branca,15 anos ou mais,4200,1.67
Mato Grosso do Sul,Masculino,40,Branca,15 anos ou mais,3500,1.75
Mato Grosso do Sul,Masculino,66,Branca,8 anos,1000,1.92
Mato Grosso do Sul,Masculino,42,Branca,11 anos,1400,1.7
Mato Grosso do Sul,Masculino,61,Parda,15 anos ou mais,800,1.62
Mato Grosso do Sul,Masculino,42,Parda,5 anos,800,1.75
Mato Grosso do Sul,Feminino,32,Parda,8 anos,520,1.74
Mato Grosso do Sul,Masculino,32,Parda,5 anos,3900,1.6
Mato Grosso do Sul,Feminino,48,Branca,11 anos,1500,1.63
Mato Grosso do Sul,Masculino,87,Parda,Sem instrução e menos de um ano,0,1.75
Mato Grosso do Sul,Masculino,44,Preta,13 anos,788,1.56
Mato Grosso do Sul,Masculino,34,Parda,5 anos,1300,1.66
Mato Grosso do Sul,Feminino,62,Branca,15 anos ou mais,1100,1.59
Mato Grosso do Sul,Masculino,55,Branca,5 anos,4000,1.7
Mato Grosso do Sul,Masculino,41,Parda,11 anos,4300,1.69
Mato Grosso do Sul,Masculino,30,Parda,11 anos,1670,1.67
Mato Grosso do Sul,Masculino,55,Branca,11 anos,1200,1.72
Mato Grosso do Sul,Masculino,54,Parda,5 anos,1000,1.7
Mato Grosso do Sul,Masculino,52,Branca,14 anos,5000,1.76
Mato Grosso do Sul,Masculino,43,Branca,7 anos,1700,1.77
Mato Grosso do Sul,Masculino,62,Parda,15 anos ou mais,5000,1.64
Mato Grosso do Sul,Masculino,55,Branca,4 anos,788,1.76
Mato Grosso do Sul,Masculino,58,Branca,11 anos,950,1.72
Mato Grosso do Sul,Masculino,45,Branca,4 anos,1320,1.88
Mato Grosso do Sul,Feminino,43,Preta,6 anos,1590,1.65
Mato Grosso do Sul,Feminino,20,Branca,7 anos,840,1.77
Mato Grosso do Sul,Feminino,55,Parda,Sem instrução e menos de um ano,700,1.63
Mato Grosso do Sul,Masculino,19,Parda,5 anos,1000,1.69
Mato Grosso do Sul,Masculino,29,Preta,10 anos,1800,1.6
Mato Grosso do Sul,Masculino,32,Parda,11 anos,1100,1.67
Mato Grosso do Sul,Masculino,30,Parda,Sem instrução e menos de um ano,980,1.66
Mato Grosso do Sul,Masculino,49,Branca,11 anos,1500,1.81
Mato Grosso do Sul,Masculino,35,Parda,8 anos,1100,1.78
Mato Grosso do Sul,Masculino,33,Branca,3 anos,1950,1.76
Mato Grosso do Sul,Masculino,68,Parda,1 ano,1600,1.71
Mato Grosso do Sul,Masculino,47,Parda,11 anos,1300,1.66
Mato Grosso do Sul,Masculino,34,Branca,11 anos,1200,1.76
Mato Grosso do Sul,Masculino,51,Parda,4 anos,800,1.74
Mato Grosso do Sul,Masculino,51,Parda,6 anos,1970,1.71
Mato Grosso do Sul,Feminino,62,Branca,1 ano,0,1.79
Mato Grosso do Sul,Masculino,55,Parda,5 anos,1500,1.76
Mato Grosso do Sul,Feminino,40,Branca,6 anos,1500,1.71
Mato Grosso do Sul,Masculino,40,Branca,4 anos,1800,1.7
Mato Grosso do Sul,Feminino,47,Branca,15 anos ou mais,3000,1.71
Mato Grosso do Sul,Masculino,58,Parda,15 anos ou mais,7000,1.65
Mato Grosso do Sul,Masculino,48,Branca,6 anos,1000,1.72
Mato Grosso do Sul,Masculino,58,Branca,11 anos,2500,1.73
Mato Grosso do Sul,Feminino,31,Parda,12 anos,1300,1.68
Mato Grosso do Sul,Masculino,50,Branca,11 anos,9000,1.77
Mato Grosso do Sul,Masculino,28,Parda,11 anos,1350,1.63
Mato Grosso do Sul,Masculino,52,Branca,6 anos,3000,1.64
Mato Grosso do Sul,Masculino,46,Parda,9 anos,800,1.72
